섬코드,섬이름,시군구,confidence,geom_source,area_km2,섬이름_c,cluster,bottleneck_type,Y_time_emergency,sea_leg_min,land_leg_emergency_min,dist_main_km,인구밀도(명/㎢),2024년 총인구,pop,cx,cy
468201005,임하도,해남군,low,buffer,0.3479404459729104,임하도,0,육지지배형,30.993,0.0,30.993,1.190328528501983,252.5,88,88,887073.9235167792,1624933.6467026132
468201006,금호도,해남군,low,buffer,5.352991377699836,금호도,0,육지지배형,29.709000000000003,0.0,29.709000000000003,1.3286228962552962,54.6,293,293,895731.7250829311,1632988.2163562677
468201007,시하도,해남군,high,shp,0.08974797774397793,시하도,1,육지지배형,61.22431413221642,3.952814132216428,57.2715,1.9764070661082136,11.1,1,1,884801.2714987273,1634579.6090400608
468401001,탄도,무안군,high,shp,0.500439907522689,탄도,0,육지지배형,44.14814970928576,5.440649709285761,38.7075,2.7203248546428807,86.0,43,43,891869.4665143123,1668898.8541961447
468701001,상낙월도,영광군,high,shp,0.822576773424025,상낙월도,1,육지지배형,94.8509253524948,14.303925352494796,80.547,7.151962676247398,223.4,184,184,876693.6128599382,1690839.440379395
468701002,하낙월도,영광군,high,shp,0.5625473280062036,하낙월도,1,육지지배형,92.84553371815636,12.298533718156351,80.547,6.1492668590781765,152.9,86,86,874916.1177100244,1689842.4644628116
468701003,소각시도,영광군,medium,buffer,0.08196817966821261,소각시도,1,육지지배형,59.48940117063782,13.430401170637822,46.059,6.715200585318911,12.2,1,1,883619.1878519664,1689398.9930117463
468701005,송이도,영광군,high,shp,3.2947541035245203,송이도,1,혼합형,65.0580023709368,31.003502370936808,34.0545,15.501751185468402,36.1,119,119,876682.0142469041,1699548.8754385968
468701006,안마도,영광군,high,shp,4.257881073935127,안마도,1,육지지배형,130.54457764714618,49.99757764714617,80.547,24.998788823573086,44.0,187,187,865978.4994036569,1706759.9373910767
468701007,대석만도,영광군,high,shp,0.39833635940545,대석만도,1,육지지배형,134.1039683023928,53.556968302392775,80.547,26.778484151196388,29.6,12,12,868108.3414529309,1709415.0008393899
468701008,죽도,영광군,high,shp,0.1741915138981711,죽도,1,육지지배형,133.6764238041958,53.12942380419578,80.547,26.56471190209789,24.2,4,4,863915.5752925253,1707532.9836287329
468701009,횡도,영광군,high,shp,0.18148268975747814,횡도,1,육지지배형,127.17928273982514,50.730282739825135,76.44900000000001,25.365141369912568,12.6,3,3,862889.2896633474,1705619.9976117304
468701010,대각이도,영광군,medium,shp,0.6418031220813054,대각이도,1,육지지배형,105.2576719234991,24.710671923499103,80.547,12.355335961749551,43.7,28,28,872347.7549595173,1695627.6704539321
468901001,완도,완도군,high,shp,87.38716883927108,완도,0,육지지배형,12.441,0.0,12.441,3.156235136172828,215.7,19394,19394,926306.2956706743,1594763.2684674512
468901002,평일도,완도군,high,shp,19.923978254083234,평일도,1,육지지배형,75.69839107046796,21.82589107046796,53.8725,10.91294553523398,155.1,3106,3106,958040.4850018144,1595283.1805585853
468901003,충도,완도군,high,shp,2.1565935505549523,충도,0,육지지배형,36.52274068867768,14.40824068867768,22.1145,7.204120344338841,57.2,124,124,961614.3580837455,1598851.2021668619
468901004,우도,완도군,high,shp,0.08090687091210379,우도,0,혼합형,52.38900408061848,30.274504080618485,22.1145,15.13725204030924,99.0,8,8,959784.1386195372,1590837.9585494814
468901005,다랑도,완도군,high,shp,0.3714822517769818,다랑도,0,혼합형,51.235373998824514,29.12087399882451,22.1145,14.560436999412255,50.5,19,19,963160.9313477094,1590421.5999104024
468901006,황제도,완도군,high,shp,0.19197639048125484,황제도,1,혼합형,97.992924781497,51.686424781497,46.3065,25.8432123907485,81.0,17,17,960763.8343054318,1577721.6566887414
468901007,신도,완도군,high,shp,1.2715305693048122,신도,0,혼합형,40.342577765751415,16.701077765751418,23.6415,8.350538882875709,24.4,31,31,957982.7660086713,1599710.9179734266
