섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
469001040,주지도,진도군,0,육지지배형,3,47.1,47.1,0.0
461101001,고하도,목포시,0,육지지배형,123,13.4,13.4,0.0
461301025,월호도,여수시,0,육지지배형,126,45.0,45.0,0.0
461301027,개도,여수시,0,육지지배형,595,45.5,45.5,0.0
461301026,자봉도,여수시,0,육지지배형,35,49.4,49.4,0.0
461301029,상화도,여수시,0,육지지배형,67,40.0,40.0,0.0
461301030,하화도,여수시,0,육지지배형,53,39.4,39.4,0.0
461301031,사도,여수시,0,육지지배형,39,52.8,52.8,0.0
461301028,제도,여수시,0,육지지배형,69,38.4,38.4,0.0
461301032,낭도,여수시,0,육지지배형,249,47.4,47.4,0.0
461301018,대두라도,여수시,0,육지지배형,131,45.3,45.3,0.0
461301019,소두라도,여수시,0,육지지배형,12,44.8,44.8,0.0
461301020,나발도,여수시,0,육지지배형,36,43.2,43.2,0.0
461301021,화태도,여수시,0,육지지배형,289,42.0,42.0,0.0
461301022,대횡간도,여수시,0,육지지배형,100,51.9,51.9,0.0
461301023,소횡간도,여수시,0,육지지배형,11,54.3,54.3,0.0
461301024,백야도,여수시,0,육지지배형,369,34.0,34.0,0.0
