섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
468901054,덕우도,완도군,1,혼합형,108,81.4,65.1,16.3
468901053,생일도,완도군,1,육지지배형,631,64.4,48.1,16.3
468901034,모황도,완도군,1,육지지배형,2,69.9,53.6,16.3
468701003,소각시도,영광군,1,육지지배형,1,59.5,43.4,16.1
461301044,소거문도,여수시,1,혼합형,21,78.8,66.3,12.5
461301043,손죽도,여수시,1,혼합형,190,78.0,65.5,12.5
461301017,연도,여수시,1,혼합형,399,75.5,64.2,11.3
461301016,부도,여수시,1,육지지배형,14,65.7,54.4,11.3
461301046,광도,여수시,1,혼합형,30,93.3,84.3,9.1
461301045,평도,여수시,1,혼합형,50,88.4,79.3,9.1
461301015,안도,여수시,1,육지지배형,318,61.7,53.1,8.6
469001036,외병도,진도군,1,혼합형,23,70.8,65.3,5.6
469101053,상하태도,신안군,1,혼합형,1408,66.6,61.1,5.6
469001037,내병도,진도군,1,혼합형,32,66.1,60.5,5.6
469001034,옥도,진도군,1,혼합형,48,61.8,56.3,5.6
469001033,갈목도,진도군,1,혼합형,3,78.0,72.5,5.6
469001032,진목도,진도군,1,혼합형,20,75.7,70.1,5.6
469001035,눌옥도,진도군,1,혼합형,16,71.2,65.6,5.6
461301042,초도,여수시,1,혼합형,355,80.8,75.3,5.5
468901008,원도,완도군,1,혼합형,8,82.3,77.0,5.4
468701005,송이도,영광군,1,혼합형,119,65.1,61.0,4.1
469001017,관사도,진도군,1,혼합형,73,68.7,67.4,1.3
469001016,소마도,진도군,1,혼합형,30,69.9,68.5,1.3
469001015,대마도,진도군,1,혼합형,86,72.1,70.8,1.3
469001018,나배도,진도군,1,혼합형,54,63.3,62.0,1.3
469001028,모도(조도면),진도군,1,혼합형,9,68.3,67.0,1.3
461301008,달천도,여수시,0,육지지배형,85,15.3,15.3,0.0
461301010,소늑도,여수시,0,육지지배형,43,22.3,22.3,0.0
469101056,고사도,신안군,0,해상지배형,20,31.9,31.9,0.0
461301011,대늑도,여수시,0,육지지배형,61,21.0,21.0,0.0
461301009,송도(율촌면),여수시,0,육지지배형,201,22.5,22.5,0.0
469101055,평사도,신안군,0,해상지배형,32,34.1,34.1,0.0
461301007,금죽도,여수시,0,해상지배형,3,17.2,17.2,0.0
461301006,송도(돌산읍),여수시,0,육지지배형,137,39.9,39.9,0.0
461301005,돌산도,여수시,0,육지지배형,12020,13.8,13.8,0.0
461301004,묘도,여수시,0,육지지배형,1076,14.1,14.1,0.0
461301003,소경도,여수시,0,혼합형,86,9.7,9.7,0.0
461301002,대경도,여수시,0,육지지배형,527,11.4,11.4,0.0
461301001,야도,여수시,0,육지지배형,4,6.5,6.5,0.0
469101060,마진도,신안군,0,육지지배형,63,52.0,52.0,0.0
469101058,백야도,신안군,0,육지지배형,16,56.5,56.5,0.0
461301013,금오도,여수시,0,육지지배형,1341,54.3,54.3,0.0
461301012,운두도,여수시,0,육지지배형,17,25.3,25.3,0.0
461101003,달리도,목포시,0,육지지배형,213,50.1,50.1,0.0
461101004,외달도,목포시,0,육지지배형,76,51.6,51.6,0.0
461101005,장좌도,목포시,0,육지지배형,1,9.3,9.3,0.0
461101006,우도,목포시,0,혼합형,1,9.9,9.9,0.0
468401001,탄도,무안군,0,육지지배형,43,44.1,44.1,0.0
468201006,금호도,해남군,0,육지지배형,293,29.7,29.7,0.0
468201005,임하도,해남군,0,육지지배형,88,31.0,31.0,0.0
468201004,어불도,해남군,0,육지지배형,201,53.8,53.8,0.0
468901001,완도,완도군,0,육지지배형,19394,12.4,12.4,0.0
468901010,소랑도,완도군,0,혼합형,101,47.8,47.8,0.0
461301038,송여자도,여수시,0,육지지배형,43,28.9,28.9,0.0
461301037,여자도,여수시,0,육지지배형,183,40.4,40.4,0.0
461301033,추도,여수시,0,육지지배형,9,54.3,54.3,0.0
461301036,적금도,여수시,0,육지지배형,111,44.4,44.4,0.0
461301035,둔병도,여수시,0,육지지배형,39,44.4,44.4,0.0
461301034,조발도,여수시,0,육지지배형,34,43.1,43.1,0.0
462301001,태인도,광양시,0,육지지배형,1475,13.7,13.7,0.0
462301002,금호도,광양시,0,육지지배형,9729,3.4,3.4,0.0
469101061,율도(장산면),신안군,0,혼합형,16,26.5,26.5,0.0
468901044,소안도,완도군,0,해상지배형,2074,40.4,40.4,0.0
468901031,동화도,완도군,0,육지지배형,16,53.3,53.3,0.0
468901030,서화도,완도군,0,육지지배형,37,57.5,57.5,0.0
468901029,백일도,완도군,0,육지지배형,102,52.9,52.9,0.0
468901027,달도,완도군,0,육지지배형,167,29.3,29.3,0.0
468901033,신지도,완도군,0,육지지배형,3129,34.1,34.1,0.0
